uat_id,page,area,function,test_action,expected_result,status,actual_result,severity,notes
UAT-054,Source interrogation /source-interrogation,Answer,Copy retrieval memo,"Select Copy retrieval memo and paste","A memo for the current retrieval trail is copied.",,,,
UAT-055,Source interrogation /source-interrogation,Answer,Download retrieval memo,"Select Download retrieval memo","A Markdown memo downloads for the current result.",,,,
UAT-056,Source interrogation /source-interrogation,Answer,Export retrieval trail,"Select Export retrieval trail","A JSON retrieval trail downloads; persistence failure is visible if it occurs.",,,,
UAT-057,Source interrogation /source-interrogation,Evidence chain,Retrieved source metadata,"Run a source-backed query and inspect a source card","Chunk ID document ID PID page/section score excerpt and citation are visible where supplied.",,,,
UAT-058,Source interrogation /source-interrogation,Evidence chain,Per-source evidence status,"Change a source Evidence status","Selected source status changes independently for the current view.",,,,
UAT-059,Source interrogation /source-interrogation,Evidence chain,Copy source citation,"Select Copy citation and paste","The source citation is copied.",,,,
UAT-060,Source interrogation /source-interrogation,Evidence chain,Open in sources,"Select Open in sources","Sources opens with document/PID handoff parameters.",,,,
UAT-061,Source interrogation /source-interrogation,Evidence chain,Locate in semantic atlas,"Select Locate in semantic atlas","Semantic atlas opens with chunk/PID handoff parameters.",,,,
UAT-062,Source interrogation /source-interrogation,Evidence chain,View provenance,"Select View provenance","Card expands/collapses provenance details or explicit unavailable state.",,,,
UAT-063,Source interrogation /source-interrogation,Evidence chain,No-source state,"Run a no-source query if available","No source chunks returned appears with a warning while answer/run remains inspectable.",,,,
UAT-064,Source interrogation /source-interrogation,Failure state,Interrogation error,"Observe a safely reproducible failed request","Interrogation failed is clear and entered query remains for retry.",,,,
UAT-065,Source interrogation /source-interrogation,Visualization,Retrieval trail graph,"Inspect Retrieval trail after a query","Graph or meaningful no-data state represents current evidence surface.",,,,
UAT-066,Absences /absences,Filter,Typology selector,"Select each available Typology","Negative-retrieval list and events table reflect selected missingness type.",,,,
UAT-067,Absences /absences,Export,Missingness CSV,"Select Export absences / missingness report","A CSV report downloads with visible missingness fields.",,,,
UAT-068,Absences /absences,Completeness,Completeness cards,"Inspect completeness cards","Metadata retrieval entity and institutional gap outputs are distinct where data exists.",,,,
UAT-069,Absences /absences,Negative retrieval log,Missingness event output,"Inspect the negative retrieval log","Each event shows query/entity/field status/evidence or designed empty state.",,,,
UAT-070,Absences /absences,Events table,Select missingness event,"Select a Missingness events table row","Selected event opens in Selected event review.",,,,
UAT-071,Absences /absences,Selected event review,Status selector,"Choose a different Status","Draft status changes before saving.",,,,
UAT-072,Absences /absences,Selected event review,Reviewer note,"Enter a reviewer note","Text remains visible before saving.",,,,
UAT-073,Absences /absences,Selected event review,Save review state,"Save a changed review","Saved confirmation appears and event reflects review state.",,,,
UAT-074,Cross-readings /cross-readings,Export,Testimony-record CSV,"Select Export testimony-record CSV","A testimony-record-map CSV downloads.",,,,
UAT-075,Cross-readings /cross-readings,Export,Testimony-record Markdown,"Select Export testimony-record Markdown","A testimony-record-map Markdown file downloads.",,,,
UAT-076,Cross-readings /cross-readings,Passage input,Passage list,"Select a persisted passage","Selected passage fields and retrieval mappings load.",,,,
UAT-077,Cross-readings /cross-readings,Passage input,Empty passage validation,"Attempt Create passage with no Passage text","Passage is not created and required-text error is clear.",,,,
UAT-078,Cross-readings /cross-readings,Passage input,Create passage,"Enter non-sensitive test passage and select Create passage","Persisted passage is created selected and confirmed.",,,,
UAT-079,Cross-readings /cross-readings,Passage input,Passage fields,"Edit label speaker/source type status and memory-position note","Each field accepts its designed value.",,,,
UAT-080,Cross-readings /cross-readings,Passage input,Save passage,"Modify selected test passage then Save passage","Update confirmation appears and values remain visible.",,,,
UAT-081,Cross-readings /cross-readings,Passage input,Run passage as retrieval probe,"Select Run passage as retrieval probe","Running state then persisted query ID or clear error appears.",,,,
UAT-082,Cross-readings /cross-readings,Retrieval results,Mapping selection,"Select a candidate mapping","Mapping becomes selected for annotation.",,,,
UAT-083,Cross-readings /cross-readings,Relation annotation,Relation type,"Change Relation type","Value changes among supports complicates contradicts and no-documentary-trace.",,,,
UAT-084,Cross-readings /cross-readings,Relation annotation,Confidence/status and note,"Edit Confidence / status and Reviewer / interpretive note","Values remain visible before saving.",,,,
UAT-085,Cross-readings /cross-readings,Relation annotation,Save mapping annotation,"Save a changed mapping annotation","Update confirmation appears and relationship remains visible.",,,,
UAT-086,Semantic atlas /semantic-atlas,Atlas state,Projection loading and availability,"Open Semantic atlas","Loading resolves to projection or explicit no-embeddings/endpoint-unavailable state.",,,,
UAT-087,Semantic atlas /semantic-atlas,Filters,Point type,"Change Point type between Chunks and Documents","Projection reloads using selected point type.",,,,
UAT-088,Semantic atlas /semantic-atlas,Filters,Colour by,"Change Colour by","Visible point colouring updates for selected dimension.",,,,
UAT-089,Semantic atlas /semantic-atlas,Filters,Year range,"Enter Year min and Year max","Projection refreshes and nonnumeric input is not retained.",,,,
UAT-090,Semantic atlas /semantic-atlas,Filters,Theme and source type,"Enter Theme filter and Source type filter","Projection refreshes using each supplied constraint.",,,,
UAT-091,Semantic atlas /semantic-atlas,Filters,Refresh and reset,"Refresh then set filters/select point and Reset view","Refresh reloads; reset restores default filters and clears selection.",,,,
UAT-092,Semantic atlas /semantic-atlas,Export,Atlas coordinate/cluster summary,"Select Export atlas coordinates / cluster summary","A visual-analytics Markdown memo downloads.",,,,
UAT-093,Semantic atlas /semantic-atlas,Scope,Metadata overlays and corpus scope,"Inspect Metadata overlays and evidence surface scope","Returned points embedding/text/PDF and missingness coverage are presented as scoped output.",,,,
UAT-094,Semantic atlas /semantic-atlas,Projection,Point hover and selection,"Hover then select a visible UMAP point","Tooltip shows available metadata; selected point highlights and detail renders.",,,,
UAT-095,Semantic atlas /semantic-atlas,Projection,Zoom and pan,"Use mouse/trackpad controls on UMAP","Projection responds without losing points or breaking layout.",,,,
UAT-096,Semantic atlas /semantic-atlas,Point detail,Evidence surface and missingness,"Inspect selected point","PID cluster metadata evidence flags scoped missingness and excerpt are visible where supplied.",,,,
UAT-097,Semantic atlas /semantic-atlas,Point detail,Open in sources,"Select Open in sources","Sources opens with document/PID handoff parameter.",,,,
UAT-098,Semantic atlas /semantic-atlas,Point detail,Open in source interrogation,"Select Open in source interrogation","Interrogation opens with chunk/PID handoff parameter.",,,,
UAT-099,Semantic atlas /semantic-atlas,Point detail,Copy PID and excerpt,"Copy PID then Copy excerpt and paste each","Selected PID and excerpt are copied.",,,,
UAT-100,Semantic atlas /semantic-atlas,Point detail,Add to research memo,"Select Add to research memo","Local memo queue count increases and duplicate point is not duplicated.",,,,
UAT-101,Semantic atlas /semantic-atlas,Clusters,Cluster selection,"Select a cluster then select it again","First action filters/highlights matching points; second clears cluster focus.",,,,
UAT-102,Semantic atlas /semantic-atlas,Clusters,Copy cluster interpretation,"Select a cluster then Copy cluster interpretation note and paste","Memo describing selected cluster is copied.",,,,
UAT-103,Semantic atlas /semantic-atlas,Cluster interpretation,Find resonances,"Enter a term and select Find resonances","Visible resonance result or meaningful empty/error state appears.",,,,
UAT-104,Claims and evidence /claims-evidence,Claim table,Loading empty and selection,"Open page then select a claim","Loading/empty state is clear; detail loads with claim support evidence count and reviewer status.",,,,
UAT-105,Claims and evidence /claims-evidence,Claim detail,Evidence chunk output,"Inspect attached evidence","Chunk IDs citation text and page ranges render or explicit missing values are shown.",,,,
UAT-106,Claims and evidence /claims-evidence,Claim detail,Support level,"Change Support level","Selected support level changes before save.",,,,
UAT-107,Claims and evidence /claims-evidence,Claim detail,Caveats and reviewer status,"Edit Caveats and Reviewer status","Values remain visible before save.",,,,
UAT-108,Claims and evidence /claims-evidence,Claim detail,Save claim updates,"Save modified claim fields","Saved appears and claim retains updated values.",,,,
UAT-109,Claims and evidence /claims-evidence,Evidence gating,Unsupported supported-claim warning,"Inspect supported claim with no evidence if present","Warning states export will downgrade it to unresolved.",,,,
UAT-110,Claims and evidence /claims-evidence,Export,Claim-evidence exports,"Select Export claim-evidence CSV and Markdown","Each control downloads correctly named claim-evidence file.",,,,
UAT-111,Research runs /research-runs,Saved runs,Saved experiment-run selector,"Select a saved run","Immutable run loads with status creation time corpus version model and assessment state.",,,,
UAT-112,Research runs /research-runs,Run record,Research question and retrieval,"Inspect Research question and retrieval","Prompt and retrieval configuration are visible.",,,,
UAT-113,Research runs /research-runs,Run record,Source evidence provenance,"Inspect Source evidence","Rank chunk document PID page score and supplied/excluded state are visible.",,,,
UAT-114,Research runs /research-runs,Run record,Authority context separation,"Inspect Archive and authority context","Authority context is explicitly not source-document evidence.",,,,
UAT-115,Research runs /research-runs,Run record,Generated analysis separation,"Inspect Generated analysis","Answer evidence-derived claims and inference/contradiction are separated.",,,,
UAT-116,Research runs /research-runs,Run record,Scoped missingness and follow-ups,"Inspect Scoped missingness","Query-scoped missingness and follow-up searches are visible separately.",,,,
UAT-117,Research runs /research-runs,Run record,Failed-run notice,"Select a failed run if present","Failure classification/detail is visible without blocking inspection.",,,,
UAT-118,Research runs /research-runs,Researcher assessment,Five scores,"Change each assessment selector","All five scores accept 0-3 or Not assessed.",,,,
UAT-119,Research runs /research-runs,Researcher assessment,Assessment fields,"Enter failure classifications qualitative notes and authority influence","All researcher-authored values remain visible before save.",,,,
UAT-120,Research runs /research-runs,Researcher assessment,Save assessment,"Save changed assessment","Saved appears and assessment state becomes recorded while immutable evidence remains displayed.",,,,
UAT-121,Research runs /research-runs,Configuration,Configuration and reproducibility,"Inspect configuration output","Run corpus prompt context budget model commit and provenance identifiers are visible.",,,,
UAT-122,Research runs /research-runs,Export,Raw JSON and saved-run report,"Select Export raw JSON then Open saved-run report","JSON downloads; report opens in a new tab for selected run.",,,,
UAT-123,Provenance /provenance,Apparatus status,Live status cards,"Open Provenance","Backend Granite query run missingness cross-read claim and authority states render or say unavailable.",,,,
UAT-124,Provenance /provenance,Authority register,Authority summary,"Inspect Authority register","Counts/types/roles are visible and text distinguishes authority context from source evidence.",,,,
UAT-125,Provenance /provenance,Recent source interrogations,Run output and exports,"Inspect a listed run then select Export JSON and Export Markdown","Run metadata is visible and each export downloads its retrieval trail.",,,,
UAT-126,Provenance /provenance,Trace lists,Absence cross-read and claim traces,"Inspect all three trace lists","Each shows persisted output or its designed empty state.",,,,
UAT-127,Provenance /provenance,Export surface,Selected query-run exports,"Choose a query run then select JSON and Markdown exports","Selected-run summary updates and both correctly typed files download.",,,,
UAT-128,Provenance /provenance,Export surface,Map and claim exports,"Select testimony-record CSV/Markdown and claim-evidence CSV/Markdown","Each control downloads its correctly named export.",,,,
UAT-129,Documentation /documentation,Documentation catalogue,Catalogue item selection,"Select each available catalogue item","Route changes to item slug and selected item/content/metadata update.",,,,
UAT-130,Documentation /documentation,Documentation reader,Markdown loading and error,"Open Markdown-backed item","Canonical Markdown loads or an understandable loading/error state appears.",,,,
UAT-131,Documentation /documentation,Documentation reader,Rendered content,"Inspect headings paragraphs and table blocks","Content is readable with table headers/rows aligned and no overlap.",,,,
UAT-132,Documentation /documentation,Metadata,Document metadata,"Inspect Metadata","ID author status classification source date version/word count and tags are visible.",,,,
UAT-133,Documentation /documentation,Source action,Open source document,"Select Open source document","Selected source opens as a readable/downloadable source link.",,,,
UAT-134,Documentation /documentation,Contents,Table of contents links,"Select each visible Contents link","Reader scrolls to corresponding anchored section.",,,,
UAT-135,Documentation /documentation,Related navigation,Return to expanded abstract,"Select Return to the expanded abstract","Foundational documentation record opens and becomes selected.",,,,
